ref_date,option_price,sigma_impl,asset_price,option_ticker,ticker,K,expiry,r,t,call_option,D_call_option,D_sigma_impl,sqrt_t,D_S,delta_bs,vega_bs,y_serie,a,b,c,delta_mv,portfolio_bs,cashflow_delta_bs,dt,cash_account_bs,pl_cumulative_bs,portfolio_mv,cashflow_delta_mv,cash_account_mv,pl_cumulative_mv
2023-06-09,19.1,24.502,326.79,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,2023-08-18,0.02,0.194444444,18.288698092240566,1.2761291643418815,0.820999999999998,0.4409585513401458,1.5300000000000296,0.6119294692140141,55.21015812145282,0.5797996910274277,-4.390410669239354,13.107970532559364,-9.570301942897242,0.629963569599407,-181.68373315220714,4.938346512550359,0.0027777780000000085,181.51814911179204,-0.1655840404150979,-187.57709681714968,7.820802831762783,192.0719922420018,4.494895424852132
2023-06-12,23.05,24.767,331.85,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,2023-08-18,0.02,0.186111111,21.343287513845098,3.0545894216045326,0.26500000000000057,0.43140597005604825,5.060000000000002,0.6658860912708264,52.10171015747923,-0.17094334570131886,-4.390410669239354,13.107970532559364,-9.570301942897242,0.7002749381757295,-199.63101187437866,17.905505029553158,0.008333332999999998,199.4539096862123,-0.17710218816634438,-211.04295071977074,23.332827662052615,215.43683456929548,4.393883849524741
2023-06-13,23.6,24.773,334.29,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,2023-08-18,0.02,0.183333333,22.89541605650527,1.5521285426601708,0.006000000000000227,0.4281744188995881,2.4399999999999977,0.6912776397451594,50.405888853405926,-0.15663262872368192,-4.390410669239354,13.107970532559364,-9.570301942897242,0.7256221971854924,-208.1917861339041,8.48814073948478,0.0027777780000000085,207.9531315071489,-0.2386546267551921,-219.67282824063298,8.47333521437363,223.92213883012872,4.249310589495735
2023-06-14,26.76,25.895,337.34,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,2023-08-18,0.02,0.180555556,25.488678649540105,2.5932625930348365,1.1219999999999999,0.42491829332237513,3.0499999999999545,0.7147865905128877,48.6820302723921,0.3988656960617558,-4.390410669239354,13.107970532559364,-9.570301942897242,0.7451261748348628,-215.63742979407743,7.930509451985464,0.0027777769999999813,215.89519422857106,0.2577644344936232,-225.87218516925248,6.579471820238609,230.51405111127306,4.641865942020587
2023-06-15,35.12,27.263,348.1,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,2023-08-18,0.02,0.177777778,34.141270713950775,8.652592064410669,1.368000000000002,0.42163702161930705,10.760000000000048,0.7940691218888121,41.81398119373412,0.03536482839055332,-4.390410669239354,13.107970532559364,-9.570301942897242,0.7894284096683607,-242.2741906155447,27.598249171959264,0.0027777780000000085,243.50543791212482,1.2312472965801078,-240.65875869160558,15.421607945540632,245.9484657497493,5.289707058143705
2023-06-16,30.75,26.581,342.33,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,2023-08-18,0.02,0.175,29.26492418801638,-4.8763465259343945,-0.6820000000000022,0.4183300132670378,-5.770000000000039,0.756063753940447,44.91377338871659,0.2839568257380102,-4.390410669239354,13.107970532559364,-9.570301942897242,0.7715432253684216,-229.55838069841684,-13.010377609763813,0.0027777780000000085,230.50858875911428,0.9502080606974346,-234.85746815235535,-6.1226351413981615,239.83949479265422,4.982026640298869
2023-06-20,27.03,26.84,338.05,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,2023-08-18,0.02,0.163888889,25.769697774784504,-3.495226413231876,0.25900000000000034,0.4048319268536018,-4.279999999999973,0.722238645979732,45.88847725601289,0.2815386515717618,-4.390410669239354,13.107970532559364,-9.570301942897242,0.7505819663873827,-218.3830764986639,-11.434577746119716,0.011111110999999979,219.1252408353093,0.742164336645402,-227.96453596247022,-7.085953598540182,232.80684478149198,4.842308819021753
2023-06-21,23.26,26.066,333.56,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,2023-08-18,0.02,0.161111111,22.1303425645348,-3.639355210249704,-0.7740000000000009,0.40138648582133407,-4.490000000000009,0.6843082448932822,47.60601274767919,0.3550315740166394,-4.390410669239354,13.107970532559364,-9.570301942897242,0.7191263512739551,-206.12751560206843,-12.652064586396175,0.0027777780000000085,206.48535021254045,0.35783461047202536,-217.74144316640565,-10.492334977234927,222.3274438781673,4.586000711761642
2023-06-22,27.85,26.471,339.71,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,2023-08-18,0.02,0.158333333,26.589399687840967,4.459057123306167,0.40500000000000114,0.39791121245825684,6.149999999999977,0.7422155207103388,43.65218479535734,-0.053155358932559404,-4.390410669239354,13.107970532559364,-9.570301942897242,0.7636593377395577,-225.54863485266821,19.671680667812286,0.0027777780000000085,226.1685026082718,0.6198677556035932,-232.8333139356642,15.12830083222988,237.46809657914952,4.634782643485323
2023-06-23,23.89,26.251,335.02,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,2023-08-18,0.02,0.155555556,22.989667766921343,-3.5997319209196235,-0.21999999999999886,0.3944053194367439,-4.689999999999998,0.7001549448754412,45.93116034501035,0.1938329064852627,-4.390410669239354,13.107970532559364,-9.570301942897242,0.7334128384938352,-211.57624186524893,-14.091134116207407,0.0027777769999999813,212.08993375438956,0.513691889140631,-222.71830138528333,-10.133182177301963,227.3481074366555,4.629806051372185
