date,open,high,low,close
11-Sep-19,11.39544654,11.39544654,11.17878723,11.19545333
12-Sep-19,11.19128681,11.30794951,11.09962325,11.27461731
13-Sep-19,11.29961646,11.33294867,11.17462071,11.19961986
16-Sep-19,11.71626899,11.76626729,11.5371084,11.69126984
17-Sep-19,11.52460883,11.56210755,11.31628256,11.5371084
18-Sep-19,11.40377959,11.4537779,11.34128172,11.34128172
19-Sep-19,11.59543976,11.60377281,11.34128172,11.37044739
20-Sep-19,11.39544654,11.42877875,11.24961816,11.24961816
23-Sep-19,11.24961816,11.4537779,11.21628596,11.44961137
24-Sep-19,11.42461222,11.47461052,11.31211604,11.36211434
25-Sep-19,11.26211774,11.39544654,11.15795461,11.39128002
26-Sep-19,11.41627917,11.54127493,11.34544824,11.54127493
27-Sep-19,11.47877705,11.64543806,11.46627747,11.52460883
30-Sep-19,11.48294357,11.51627578,11.41627917,11.47877705
1-Oct-19,11.49960968,11.5537745,11.39961307,11.46211095
2-Oct-19,11.34128172,11.35794782,11.08712368,11.13295545
3-Oct-19,11.14545503,11.17045418,10.94962834,11.1412885
4-Oct-19,11.18712028,11.21628596,10.94546182,11.04545842
7-Oct-19,10.98712707,11.08295715,10.87463089,10.90379657
8-Oct-19,10.90379657,11.01629275,10.81213301,10.84129869
9-Oct-19,10.97879402,11.12878893,10.89546351,11.04962495
10-Oct-19,11.07879063,11.19961986,11.057958,11.1412885
11-Oct-19,11.22045248,11.39961307,11.22045248,11.35794782
14-Oct-19,11.26628426,11.38711349,11.22461901,11.37878044
15-Oct-19,11.37878044,11.61627238,11.37878044,11.49960968
16-Oct-19,11.47877705,11.65377111,11.39961307,11.63710501
17-Oct-19,11.63710501,11.66627069,11.49544315,11.52460883
18-Oct-19,11.62043891,11.66210416,11.49960968,11.49960968
21-Oct-19,11.56210755,11.58710671,11.49960968,11.5704406
22-Oct-19,11.58294018,11.9495944,11.5704406,11.90376262
23-Oct-19,11.88709652,12.11625541,11.85376432,12.06209058
24-Oct-19,12.14542109,12.18708634,11.76210077,11.79959949
25-Oct-19,12.16625371,12.3120821,12.08708973,12.18708634
28-Oct-19,12.17458677,12.35791388,12.13292151,12.33291472
29-Oct-19,12.24958422,12.47457658,12.19125287,12.42457828
30-Oct-19,12.40374565,12.53707446,12.2787499,12.53290794
31-Oct-19,12.44124438,12.6912359,12.34958083,12.66207022
1-Nov-19,12.74540072,13.01205834,12.43291133,12.67873632
4-Nov-19,12.87039648,13.00789181,12.48290963,12.64957064
5-Nov-19,12.67040327,12.74956725,12.32458167,12.35374735
6-Nov-19,12.52040836,12.7912325,11.70793594,12.3787465
7-Nov-19,12.49957573,12.94539394,12.30791557,12.87456301
8-Nov-19,12.68706937,12.82873123,12.47041006,12.50790878
11-Nov-19,12.43707786,12.68706937,12.4120787,12.68706937
12-Nov-19,12.59937249,12.83844181,12.5867899,12.5909841
13-Nov-19,12.56162471,12.63712028,12.41902196,12.54065371
14-Nov-19,12.53226532,12.62453769,12.27641921,12.2890018
18-Nov-19,12.45676974,12.51968272,12.19253523,12.19672943
19-Nov-19,12.26803081,12.36869157,12.04993248,12.07090348
21-Nov-19,12.13381645,12.51968272,12.11284546,12.51968272
22-Nov-19,12.48193493,12.72519845,12.39805096,12.5742073
25-Nov-19,12.54904211,12.62453769,12.42741035,12.46935234
26-Nov-19,12.42321616,12.46935234,12.20511783,12.24286562
27-Nov-19,12.30997279,12.43579875,12.22189462,12.3015844
28-Nov-19,12.2973902,12.38966257,12.08348607,12.38546837
29-Nov-19,12.36869157,12.39805096,12.16737004,12.22608882
2-Dec-19,12.33094379,12.37288577,12.19253523,12.19253523
3-Dec-19,12.23447722,12.24286562,12.04993248,12.15478745
4-Dec-19,12.27222501,12.43999295,12.20931203,12.43999295
5-Dec-19,12.43160455,12.74616944,12.38127417,12.60356669
6-Dec-19,12.64550868,12.83005342,12.63712028,12.72939265
9-Dec-19,12.70842166,12.78391723,12.63292608,12.67067387
10-Dec-19,12.62453769,12.76714044,12.54065371,12.76714044
11-Dec-19,12.79649983,12.8803838,12.69164486,12.75036364
12-Dec-19,12.85102441,13.02298655,12.78391723,12.98943296
13-Dec-19,12.95587937,12.98943296,12.52807112,12.5742073
16-Dec-19,12.60356669,12.65389708,12.33513799,12.33513799
17-Dec-19,12.43160455,12.54065371,12.34352638,12.51968272
18-Dec-19,12.47774074,12.82166502,12.45676974,12.80908242
19-Dec-19,12.77133464,12.89716059,12.75875204,12.83844181
20-Dec-19,12.83424761,12.83424761,12.5909841,12.69164486
23-Dec-19,12.66228547,12.79230563,12.5951783,12.79230563
26-Dec-19,12.83005342,12.97265617,12.79230563,12.96426777
27-Dec-19,13.0501429,13.14794456,12.88005306,12.97785472
30-Dec-19,12.99061146,13.05864739,12.82052162,12.83327836
2-Jan-20,12.97360247,13.05439515,12.88855756,13.05439515
3-Jan-20,13.13093558,13.28401643,12.948089,12.948089
6-Jan-20,12.93958451,13.15644905,12.7354767,13.10116985
7-Jan-20,13.1054221,13.13093558,12.95659349,13.0501429
8-Jan-20,13.0501429,13.08416087,12.85879183,12.96935023
9-Jan-20,12.95659349,13.02037718,12.86304408,12.92682777
10-Jan-20,12.92257552,12.94383675,12.81201713,12.87154857
13-Jan-20,12.90556654,12.93958451,12.8460351,12.89706205
14-Jan-20,12.85453959,12.87154857,12.65893627,12.75673793
15-Jan-20,12.71421547,12.72697221,12.56113462,12.56538686
16-Jan-20,12.58664809,12.62917055,12.47183745,12.55263012
17-Jan-20,12.63767504,12.69295424,12.56113462,12.69295424
20-Jan-20,12.62917055,12.79926039,12.60790932,12.75673793
21-Jan-20,12.67169301,12.73122445,12.56538686,12.59515258
22-Jan-20,12.64192729,12.67594526,12.44632397,12.45482847
23-Jan-20,12.36978355,12.65468403,12.2549729,12.58664809
24-Jan-20,12.56963911,12.66318852,12.39104478,12.45908071
27-Jan-20,12.17418023,12.17843248,11.76596462,11.91904547
28-Jan-20,12.08913531,12.39104478,12.08488307,12.24646841
29-Jan-20,12.33151333,12.3655313,12.19118922,12.26772964
30-Jan-20,12.02535162,12.34852232,11.98282916,12.30599986
31-Jan-20,12.17418023,12.2634774,12.03810836,12.0976398
3-Feb-20,12.12740553,12.21670269,11.97432467,11.98282916
4-Feb-20,12.18268472,12.34852232,12.14441451,12.17418023
5-Feb-20,12.35277456,12.42506274,12.07212633,12.07212633
6-Feb-20,12.20394595,12.54837788,11.95731569,12.40805376
7-Feb-20,12.33151333,12.48034194,12.21670269,12.30174761
10-Feb-20,12.28473863,12.38679253,12.17843248,12.38679253
11-Feb-20,12.50160317,12.59940483,12.44207173,12.53562114
12-Feb-20,12.60365707,12.87580082,12.59940483,12.81201713
13-Feb-20,12.65893627,12.8460351,12.60365707,12.63767504
14-Feb-20,12.69720649,12.73972895,12.4760897,12.51010766
17-Feb-20,12.59940483,12.65893627,12.46333296,12.48459419
18-Feb-20,12.35702681,12.65893627,12.3102521,12.65043178
19-Feb-20,12.70145873,12.99061146,12.65468403,12.99061146
20-Feb-20,13.09691761,13.13518782,12.65043178,12.72271996
21-Feb-20,12.54837788,12.62066606,12.34427007,12.39104478
26-Feb-20,11.49807312,11.64690173,11.06859628,11.1451367
27-Feb-20,10.93677665,11.28120858,10.58384024,10.75818232
28-Feb-20,10.69865088,10.86874072,10.46902959,10.7751913
2-Mar-20,10.84322724,11.37475799,10.83472275,11.28120858
3-Mar-20,11.29821756,11.68517194,10.95378564,11.07710077
4-Mar-20,11.44279392,11.45555066,11.15789344,11.43428943
5-Mar-20,11.19616366,11.34074002,10.50729981,10.75393008
6-Mar-20,10.2479128,10.26066954,9.588814677,9.707877565
9-Mar-20,7.573250084,7.751844416,6.55271105,6.824854793
10-Mar-20,7.930438747,7.930438747,6.960926664,7.466943935
11-Mar-20,7.101250781,7.284097358,6.378368965,6.739809873
12-Mar-20,5.808568004,5.893612924,4.711488542,5.357829931
13-Mar-20,6.420891425,6.548458804,5.40035239,6.548458804
16-Mar-20,5.489649556,5.995666827,5.336568701,5.566189983
17-Mar-20,5.783054528,5.885108432,5.52791977,5.52791977
18-Mar-20,5.013398007,5.226010305,4.622191377,4.800785708
19-Mar-20,4.707236296,5.557685492,4.613686885,5.191992338
20-Mar-20,5.574694475,5.740532069,5.03040699,5.102695172
23-Mar-20,5.149469878,5.1792356,4.796533462,4.890082873
24-Mar-20,5.345073193,5.757541052,5.221758059,5.634225919
25-Mar-20,5.629973673,6.2890718,5.455631588,6.089216239
26-Mar-20,6.123234206,6.459161639,5.872351694,6.11898196
27-Mar-20,5.655487149,5.821324742,5.634225919,5.655487149
30-Mar-20,5.591703459,5.842585972,5.455631588,5.689505117
31-Mar-20,5.783054528,6.18276565,5.783054528,5.948892121
1-Apr-20,5.719270839,6.187017896,5.663991641,6.080711747
2-Apr-20,6.548458804,7.037467091,6.382621211,6.59523351
3-Apr-20,6.931160942,6.956674418,6.348603243,6.522945328
6-Apr-20,6.824854793,6.846116022,6.454909393,6.705791905
7-Apr-20,7.062980567,7.258583882,6.948169926,6.973683402
8-Apr-20,7.016205862,7.454187197,6.973683402,7.364890032
9-Apr-20,7.628529282,7.94744773,7.016205862,7.152277733
13-Apr-20,7.152277733,7.267088374,6.94391768,7.199052439
14-Apr-20,7.237322652,7.35638554,7.062980567,7.114007519
15-Apr-20,6.820602547,7.003449124,6.744062119,6.96517891
16-Apr-20,7.088494043,7.126764257,6.603738002,6.684530675
17-Apr-20,6.697287413,6.85887276,6.61649474,6.85887276
20-Apr-20,6.582476772,6.94391768,6.522945328,6.782332333
22-Apr-20,6.739809873,7.122512011,6.710044151,7.122512011
23-Apr-20,7.31386308,7.411664737,7.067232813,7.20755693
24-Apr-20,7.096998535,7.139520995,6.497431852,6.782332333
27-Apr-20,6.863125006,7.028962599,6.710044151,6.994944632
28-Apr-20,7.245827144,7.33512431,7.071485059,7.33512431
29-Apr-20,7.568997839,7.858150565,7.454187197,7.739087678
30-Apr-20,7.645538266,7.832637089,7.526475379,7.675303988
4-May-20,7.411664737,7.492457411,7.305358588,7.390403507
5-May-20,7.611520298,7.858150565,7.59876356,7.628529282
6-May-20,7.59876356,7.679556234,7.347881048,7.347881048
7-May-20,7.547736609,7.59876356,7.37764677,7.415916983
8-May-20,7.543484363,7.900673025,7.530727625,7.858150565
11-May-20,7.781610137,8.049501634,7.700817464,7.717826448
12-May-20,7.879411795,8.006979174,7.709321956,7.713574202
13-May-20,7.764601153,7.802871367,7.449934951,7.479700673
14-May-20,7.398907999,7.428673721,7.109755273,7.398907999
15-May-20,7.649790512,7.734835432,7.29260185,7.29260185
18-May-20,7.696565218,7.883664041,7.62002479,7.883664041
19-May-20,7.870907303,8.049501634,7.828384843,7.943195484
20-May-20,8.11753757,8.266366179,8.104780832,8.206834735
21-May-20,8.291879655,8.406690296,8.109033078,8.160060029
22-May-20,7.994222436,8.036744896,7.802871367,7.938943238
25-May-20,8.283375163,8.31739313,8.189825751,8.283375163
26-May-20,8.495987461,8.542762167,8.219591473,8.364167836
27-May-20,8.419447034,8.474726232,8.143051045,8.474726232
28-May-20,8.372672328,8.538509921,8.270618425,8.406690296
29-May-20,8.313140884,8.649068317,8.206834735,8.649068317
1-Jun-20,8.568275643,8.742617728,8.504491953,8.644816071
2-Jun-20,8.823410402,9.09980639,8.759626712,9.09980639
3-Jun-20,9.295409705,9.316670935,9.104058636,9.129572112
4-Jun-20,9.095554144,9.261391737,8.946725535,9.112563128
5-Jun-20,9.478256282,9.792922484,9.380454625,9.397463608
8-Jun-20,9.588814677,9.605823661,9.359193395,9.580310185
9-Jun-20,9.367697887,9.371950133,9.201860294,9.235878261
10-Jun-20,9.308166443,9.312418689,8.929716551,9.09980639
12-Jun-20,8.768131204,9.002004733,8.547014413,8.759626712
15-Jun-20,8.42369928,8.967986765,8.308888638,8.802149172
16-Jun-20,9.167842326,9.316670935,9.002004733,9.087049652
17-Jun-20,9.133824358,9.291157459,8.993500241,9.116815374
18-Jun-20,9.006256979,9.257139491,8.963734519,9.18485131
19-Jun-20,9.354941149,9.44849056,9.023265963,9.129572112
22-Jun-20,9.18485131,9.18485131,8.887194091,8.908455321
23-Jun-20,9.023265963,9.384706871,8.989247995,9.20611254
24-Jun-20,9.138076604,9.167842326,8.806401418,8.929716551
25-Jun-20,8.891446337,9.129572112,8.81490591,9.129572112
26-Jun-20,9.019013717,9.129572112,8.83616714,8.861680615
29-Jun-20,8.972239011,9.210364786,8.899950829,9.210364786
30-Jun-20,9.074292914,9.269896229,8.967986765,9.16359008
1-Jul-20,9.248634999,9.461247298,9.150833342,9.231626015
2-Jul-20,9.397463608,9.444238314,9.295409705,9.380454625
